method,hour,electricity_cda_mwh,electricity_clearing_price,electricity_external_buy_mwh,electricity_external_sell_mwh,hydrogen_cda_mwh,hydrogen_clearing_price,hydrogen_external_buy_mwh,hydrogen_external_sell_mwh,minimum_voltage_pu,raw_voltage_cost
Fixed-penalty MAPPO,2,0.0,0.226258784532547,2.1928723754882813,2.6172958984375,0.48401416015625,14.919293403625488,0.8153204345703124,0.6823043823242188,0.9807188406917381,0.0
Fixed-penalty MAPPO,3,0.0,0.226258784532547,2.0360394897460936,2.598271484375,0.5218271484375,14.679040908813477,0.65479931640625,0.6998609619140626,0.9820186729236662,0.0
Fixed-penalty MAPPO,4,0.38449853515625,0.22680208086967468,1.6594260864257813,2.25160009765625,0.5413457641601562,14.652448654174805,0.7215708923339844,0.7324658813476562,0.9824291901926613,0.0
Fixed-penalty MAPPO,5,0.291993408203125,0.2269376665353775,1.781198486328125,2.3981962890625,0.5560794067382813,14.769725799560547,0.7035036315917969,0.7499988403320312,0.9827318464909923,0.0
Fixed-penalty MAPPO,6,0.19011111450195312,0.22708292305469513,1.9281253662109374,2.457915283203125,0.5660513305664062,14.97006893157959,0.8288532104492188,0.759509765625,0.9821485690205176,0.0
Fixed-penalty MAPPO,7,0.7548543853759766,0.2273251712322235,1.3518441162109376,1.9028712158203125,0.533321044921875,15.208739280700684,1.1663200073242188,0.72570556640625,0.9818076928540261,0.0
Fixed-penalty MAPPO,8,0.7029267883300782,0.4798407554626465,0.6661236572265625,1.782538330078125,0.3976167907714844,15.452120780944824,1.8818017578125,0.654024658203125,0.9844945157133026,0.0
Fixed-penalty MAPPO,9,0.7367401733398438,0.4147976338863373,0.0,2.622830810546875,0.2821180419921875,15.624601364135742,2.7687590942382814,0.5197243041992188,0.9925901357811887,0.0
Fixed-penalty MAPPO,10,0.5112574462890624,0.41668403148651123,0.0,4.732786743164063,0.21598980712890625,15.829222679138184,3.02542578125,0.4436555480957031,0.9986202627676566,0.0
Fixed-penalty MAPPO,11,0.28208792114257814,0.6760137677192688,0.0,6.443498291015625,0.20903485107421876,16.007280349731445,2.9786783447265623,0.386458984375,0.9992083330202042,0.0
Fixed-penalty MAPPO,12,0.1944744415283203,0.6867116093635559,0.0,7.952327911376953,0.2401454772949219,16.077239990234375,2.9212952880859375,0.338307373046875,0.9997241046438874,0.0
Fixed-penalty MAPPO,13,0.28391845703125,0.7001450061798096,0.0,8.813388092041016,0.2575057373046875,16.13275909423828,2.8880795288085936,0.2874158935546875,1.0,0.0
Fixed-penalty MAPPO,14,0.437818115234375,0.716468870639801,0.0,9.098358184814453,0.2709039306640625,16.143529891967773,2.785441345214844,0.2619637451171875,1.0,0.0
