scenario,hour,h2_cda_mwh,h2_clearing_price,planned_external_order_mwh,emergency_supply_mwh,pending_energy_mwh,tank_energy_mwh,electrolyzer_power_mw
Instant delivery,8,7.43865966796875e-08,29.19394302368164,0.8951054458618164,0.9838347778320312,0.0,34.82403596557617,0.8818340816497803
Instant delivery,9,6.103515625e-08,29.366878509521484,1.0782397155761718,0.12147308349609375,0.0,32.722488837432856,0.8993097515106201
Instant delivery,10,3.814697265625e-08,29.460430145263672,0.8855240249633789,0.0,0.0,29.368810668640137,0.913405746459961
Instant delivery,11,3.0517578125e-08,29.51318359375,0.9971104297637939,0.0,0.0,26.21827520336151,0.9322963905334473
Instant delivery,12,1.71661376953125e-08,29.547924041748047,0.8358192443847656,1.21368994140625,0.0,24.22934794232368,0.9539378070831299
Instant delivery,13,9.5367431640625e-09,3.9774365425109863,1.0296598930358887,1.8053751220703125,0.0,23.088570988082882,0.97463157081604
Instant delivery,14,2.09808349609375e-08,29.345739364624023,0.7804286041259766,1.75218359375,0.0,21.741314217224122,0.9509465999603272
Instant delivery,15,1.52587890625e-08,29.524471282958984,0.8291262884140015,1.68208056640625,0.0,20.526494241542817,0.9848503532409668
Instant delivery,16,1.049041748046875e-08,4.128957748413086,1.0248874740600586,2.0252435302734373,0.0,19.872725154876708,1.0041439514160155
Instant delivery,17,1.430511474609375e-08,4.060201168060303,0.9573174629211426,2.157529296875,0.0,19.455442058258058,0.9564856834411621
Instant delivery,18,0.0,4.060201168060303,0.9241422700881958,2.2445799560546873,0.0,19.073404002456662,0.9263866996765137
Instant delivery,19,0.0,4.060201168060303,0.9005621128082275,2.23740380859375,0.0,18.672598368644714,0.9062515716552735
Instant delivery,20,0.0,4.060201168060303,0.8894771614074707,2.49856787109375,0.0,18.262811546859737,0.8917452716827392
Instant delivery,21,1.52587890625e-08,3.9927220344543457,0.8732670669555664,3.4784754638671873,0.0,17.80595625886917,0.8763260955810547
Instant delivery,22,0.0,3.9927220344543457,0.8630082025527954,3.7536837158203125,0.0,17.6649,0.8601726531982422
Instant delivery,23,0.0,3.9927220344543457,0.85243159532547,2.8581947326660155,0.0,17.6649,0.8390082740783691
Instant delivery,24,0.0,3.9927220344543457,0.8234092388153076,1.9725475158691406,0.0,17.6649,0.8326160049438477
