%Active Power profiles for 672 hours [MW],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%Technologies: Photovoltaic (pv), Wind (w), Load (L),,,,,,,,,,,,,,,,,,,,,,,,,,,,
%The number next to the name of the technology indicates the number of the node to which the technology is connected.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ppv11,Ppv16,Ppv23,Ppv28,Ppv3,Ppv32,Ppv6,Ppv8,Pw13,Pw22,Pw25,Pw27,Pw5,Pw9,PL10,PL12,PL14,PL15,PL17,PL18,PL19,PL20,PL24,PL26,PL27,PL29,PL30,PL33,PL4,PL6,PL7
0.528615,1.686,1.51088,1.14018,1.269152,0.63948,1.120793,1.97787,1.564,7.4091,0.306033,3.2256,2.58094,1.75623,0.045556667,0.259213333,0.093276667,0.093276667,0.046468,0.116745,0.044528,0.1771,0.2685,0.091886667,0.091886667,0.041266667,0.148595,0.03778,0.08031,0.04759,0.09233
0.344216,1.19625,1.15064,0.80904,1.037153,0.47163,0.886261,1.56399,1.549125,7.4091,0.289484,3.0042,2.30146,1.81593,0.05128,0.25112,0.096123333,0.096123333,0.04792,0.11211,0.050655,0.16892,0.27356,0.092156667,0.092156667,0.04234,0.158845,0.039816,0.076562,0.0485725,0.08435
0.1454724,0.5058,0.46778,0.39135,0.536775,0.31974,0.483412,0.85308,1.553375,7.4193,0.24814,2.89332,2.09338,1.99005,0.052173333,0.275776667,0.112526667,0.112526667,0.041148,0.12267,0.053215,0.19504,0.31597,0.09524,0.09524,0.044086667,0.152905,0.038704,0.078,0.0492375,0.08981
0.0184399,0.060213,0.0483911,0.067734,0.0909789,0.08793,0.1074247,0.189573,1.513,7.4394,0.215042,2.63028,1.653267,2.06469,0.052516667,0.286143333,0.118276667,0.118276667,0.047046,0.133695,0.054515,0.205185,0.34194,0.097076667,0.097076667,0.047643333,0.1505,0.039506,0.078964,0.047385,0.095945
0,0,0,0.0075258,0,0,0,0,1.391875,7.4292,0.1819649,2.65797,1.552168,2.06964,0.057193333,0.328476667,0.131866667,0.131866667,0.060976,0.16954,0.07277,0.235645,0.38206,0.12595,0.12595,0.056503333,0.17181,0.042506,0.08449,0.0494625,0.11532
0,0,0,0,0,0,0,0,1.42375,7.2678,0.1240681,2.64414,1.302404,2.30349,0.05317,0.317376667,0.119336667,0.119336667,0.060318,0.186805,0.07277,0.24477,0.36095,0.130126667,0.130126667,0.06605,0.191175,0.041866,0.089058,0.049175,0.1263
0,0,0,0,0,0,0,0,1.498125,7.086,0.1240681,2.90718,1.094256,2.37312,0.049726667,0.315376667,0.112013333,0.112013333,0.056454,0.19125,0.07428,0.243855,0.34221,0.1285,0.1285,0.070893333,0.197275,0.041196,0.093076,0.04616,0.12382
0,0,0,0,0,0,0,0,1.462,7.0155,0.1240681,3.4056,0.898008,2.4975,0.042353333,0.295733333,0.0966,0.0966,0.056136,0.19125,0.068335,0.229685,0.28963,0.125576667,0.125576667,0.07298,0.19555,0.033986,0.08508,0.038255,0.11238
0,0,0,0,0,0,0,0,1.51725,6.975,0.1240681,3.807,0.755276,2.60697,0.03561,0.23965,0.076646667,0.076646667,0.048802,0.170945,0.059865,0.18592,0.23572,0.107643333,0.107643333,0.063396667,0.168665,0.027664,0.069394,0.0323425,0.09775
0,0,0,0,0,0,0,0,1.515125,6.8742,0.1488802,4.2639,0.67796,2.67663,0.027851333,0.188553333,0.06238,0.06238,0.038472,0.129965,0.045724,0.14953,0.18093,0.08062,0.08062,0.050446667,0.13572,0.020692,0.0538,0.0245975,0.075295
0,0,0,0,0,0,0,0,1.479,6.8238,0.1736942,4.8591,0.69581,2.72637,0.021442667,0.142733333,0.050236667,0.050236667,0.029796,0.0966,0.033384,0.110465,0.13169,0.060923333,0.060923333,0.035646667,0.105855,0.0160942,0.039926,0.01883375,0.05739
0,0,0,0,0,0,0,0,1.45775,6.7833,0.1819649,5.4267,0.796909,2.69154,0.018048667,0.099033333,0.03843,0.03843,0.022998,0.06713,0.02554,0.07629,0.10443,0.0455,0.0455,0.02389,0.07656,0.0131478,0.030548,0.01543975,0.048531
0,0,0,0,0,0,0,0,1.396125,6.5712,0.190228,5.4405,0.903941,2.7612,0.015805667,0.070993333,0.028664333,0.028664333,0.014119,0.045002,0.0194565,0.05663,0.083007,0.032617667,0.032617667,0.016802,0.060955,0.0113056,0.020382,0.01170525,0.027492
0,0,0,0,0,0,0,0,1.336625,6.3693,0.1819649,6.0219,0.981257,2.98506,0.01409,0.057493333,0.027604,0.027604,0.0131496,0.03718,0.0163075,0.044783,0.074181,0.029243333,0.029243333,0.013163667,0.052465,0.01017,0.0158328,0.0109875,0.0245065
0,0,0,0,0,0,0,0,1.251625,5.895,0.1819649,6.4788,1.242921,3.1542,0.014110667,0.054,0.024783333,0.024783333,0.0120584,0.0338525,0.014822,0.042359,0.074462,0.029478,0.029478,0.012443333,0.050585,0.009928,0.0158122,0.01091875,0.0250935
0,0,0,0,0,0,0,0,1.183625,5.3904,0.190228,6.3681,1.623534,3.1941,0.014379,0.051863333,0.025792667,0.025792667,0.0123658,0.032562,0.014822,0.04223,0.077593,0.029708667,0.029708667,0.012370667,0.051195,0.0100404,0.0158776,0.01147575,0.024238
