step,agent,economic_cost,step_total_cost,voltage_cost,voltage_violation_area,voltage_min_pu,voltage_max_pu,pf_converged,pcc_p_kw,pcc_q_kvar,p_el,p_bat,soc,p_ht,h2_level,pending_h2_energy,h2_emergency_buy_energy,h2_planned_external_order_energy,h2_late_order_energy,external_min_eta,action_0,action_1,action_2,action_3,action_4,action_5,action_6
14,0,293778.1018045654,293778.1018045654,0.0,0.0,0.9782700800628064,1.0,True,-2316.08251953125,493.7109069824219,57.1207389831543,-0.0,0.2699844241142273,-340.4421081542969,304.1752014160156,7650.3759765625,1.1444091796875e-05,1632.0811767578125,1632.0811767578125,0.16666666666666666,-0.9428792595863342,-0.9682497978210449,0.8282361626625061,-0.919026792049408,-0.8920823335647583,0.9584972858428955,0.5394408702850342
14,1,293778.1018045654,293778.1018045654,0.0,0.0,0.9782700800628064,1.0,True,528.1574096679688,424.9265441894531,79.74386596679688,7.52900741645135e-05,0.8999999761581421,0.0,475.0,6031.76025390625,266.0794677734375,1282.5269775390625,1282.5269775390625,0.0,-0.9468374252319336,0.9766493439674377,-0.8713271021842957,0.9532137513160706,0.06475706398487091,0.9237905144691467,-0.9534294605255127
14,2,293778.1018045654,293778.1018045654,0.0,0.0,0.9782700800628064,1.0,True,-630.7601928710938,583.952880859375,33.89012908935547,-0.0,0.41814929246902466,-126.59942626953125,15.0,718.647705078125,1332.2532958984375,125.83209228515625,125.83209228515625,0.0,-0.8644394874572754,-0.37007826566696167,0.9359959363937378,-0.913716733455658,-0.9308545589447021,-0.9612824320793152,0.966324508190155
14,3,293778.1018045654,293778.1018045654,0.0,0.0,0.9782700800628064,1.0,True,1680.23779296875,529.2476196289062,439.34942626953125,5.019338641432114e-05,0.8999999761581421,-0.0,15.0,470.06298828125,1860.552490234375,79.01348114013672,79.01348114013672,0.16666666666666666,0.09837359935045242,0.9291365146636963,0.9435482025146484,-0.8905959129333496,-0.9457379579544067,-0.9805505275726318,0.8938222527503967
15,0,295297.5019595642,295297.5019595642,0.0,0.0,0.961487340292422,1.0,True,-596.0667724609375,526.9182739257812,54.055213928222656,-0.0,0.2699844241142273,-365.2090148925781,293.21783447265625,9181.9482421875,3.814697265625e-06,1636.294677734375,1636.294677734375,0.16666666666666666,-0.9459447860717773,-0.9646204113960266,0.8120675683021545,-0.9035882353782654,-0.8903279900550842,0.9635535478591919,0.49110251665115356
15,1,295297.5019595642,295297.5019595642,0.0,0.0,0.961487340292422,1.0,True,853.2139892578125,456.9422302246094,78.41706085205078,7.52900741645135e-05,0.8999999761581421,0.0,475.0,3720.83740234375,302.1607971191406,1286.328857421875,1286.328857421875,0.0,-0.9477219581604004,0.977901041507721,-0.8883354067802429,0.9513217806816101,0.0249493345618248,0.9294931888580322,-0.9563978314399719
15,2,295297.5019595642,295297.5019595642,0.0,0.0,0.961487340292422,1.0,True,-528.6110229492188,556.4776000976562,32.78055953979492,-0.0,0.41814929246902466,-0.0,23.84606170654297,550.1509399414062,1443.478515625,133.83737182617188,133.83737182617188,0.0,-0.8688777685165405,-0.3502507507801056,0.9248918294906616,-0.914349377155304,-0.9213938117027283,-0.9588192701339722,0.9731093049049377
15,3,295297.5019595642,295297.5019595642,0.0,0.0,0.961487340292422,1.0,True,2029.830322265625,547.8587646484375,548.2002563476562,5.019338641432114e-05,0.8999999761581421,-0.0,18.452592849731445,418.34515380859375,1774.7001953125,66.55154418945312,66.55154418945312,0.3333333333333333,0.37050068378448486,0.9361431002616882,0.9277746081352234,-0.9047343730926514,-0.9349578022956848,-0.9836180806159973,0.8936312198638916
16,0,261347.40592871094,261347.40592871094,0.0,0.0,0.9569525273911199,1.0,True,1.52587890625e-05,539.7723999023438,56.44398880004883,-720.4035034179688,0.118320532143116,-376.9096984863281,328.1820068359375,9189.068359375,1.1444091796875e-05,1641.2984619140625,1641.2984619140625,0.3333333333333333,-0.943556010723114,-0.9625213742256165,0.8130633234977722,-0.8861570358276367,-0.8803959488868713,0.96955806016922,0.45077234506607056
16,1,261347.40592871094,261347.40592871094,0.0,0.0,0.9569525273911199,1.0,True,972.0029907226562,437.5987243652344,32.919376373291016,7.52900741645135e-05,0.8999999761581421,-37.101173400878906,475.0,3702.889404296875,280.6953430175781,1277.5599365234375,1277.5599365234375,0.16666666666666666,-0.9780537486076355,0.7503591775894165,-0.8944597244262695,0.9541698098182678,-0.018550585955381393,0.9163397550582886,-0.9612815976142883
